OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
87,30.81082,0.3848975,1.333e-06,0.1847665,1e-06,0.02884096,0.07297939,0.02841904,0.02190097,0.007420572,0.01646289,0.006980573,0.004244826,0.005889325,0.006990156
88,31.19572,0.3278139,1.25e-06,0.1854918,9.17e-07,0.02110638,0.02924596,0.02435046,0.01925214,0.008323987,0.01627498,0.006854656,0.00399241,0.005899825,0.007019155
89,31.52353,0.3291096,1.334e-06,0.1858848,9.16e-07,0.02149797,0.02931087,0.02437971,0.01927505,0.008387487,0.01609139,0.007025906,0.004123493,0.006105491,0.007025156
90,31.85264,0.3282432,1.417e-06,0.18535,1e-06,0.0210133,0.02931095,0.02429296,0.01925639,0.008343321,0.01617439,0.006855739,0.003944161,0.005682408,0.008017154
91,32.18088,0.3299151,1.166e-06,0.186699,1.084e-06,0.02110705,0.02930137,0.0242758,0.01929214,0.008422403,0.01610164,0.006777823,0.004103411,0.005677408,0.008154737
92,32.5108,0.3280521,1.75e-06,0.1858722,1.083e-06,0.02109288,0.02929437,0.0243678,0.01922805,0.008315237,0.01624539,0.006846906,0.003967494,0.005822741,0.006996156
93,32.83885,0.3321733,1.417e-06,0.1897719,1e-06,0.0212538,0.02926812,0.0242638,0.01929855,0.008322654,0.01612764,0.006848489,0.004110994,0.005926991,0.006977989
94,33.17102,0.3283028,1.417e-06,0.1850888,9.17e-07,0.02099488,0.02931621,0.02426021,0.01950864,0.008303904,0.01607881,0.007021656,0.003941411,0.005738408,0.008047571
95,33.49933,0.3282272,1.416e-06,0.1857225,1.167e-06,0.02114663,0.02929704,0.02430855,0.01946597,0.008308987,0.01614748,0.006853656,0.004138743,0.005819741,0.007015406
96,33.82755,0.3800697,1.416e-06,0.1860835,1.083e-06,0.02167588,0.07291514,0.02841329,0.02197472,0.007379572,0.01664856,0.007022405,0.004154827,0.005643492,0.00815582
97,34.20762,0.3280186,1.5e-06,0.1858244,1.25e-06,0.02095988,0.02928687,0.02429654,0.0193003,0.008315404,0.01612873,0.00681924,0.004069327,0.005987407,0.007027739
98,34.53564,0.3271138,1.334e-06,0.1848795,1e-06,0.02107447,0.0292792,0.02427138,0.0192018,0.008402654,0.01625897,0.006864906,0.003969244,0.005901074,0.007008323
99,34.86276,0.3286489,1.333e-06,0.1863905,1.083e-06,0.02113772,0.02933287,0.02426688,0.01921822,0.008341737,0.01600781,0.007035406,0.004071077,0.005839075,0.007005239
100,35.19141,0.3281232,1.333e-06,0.1857021,9.16e-07,0.02109097,0.02934095,0.02428596,0.01936097,0.008405487,0.01615564,0.006861406,0.003974994,0.005920074,0.007022323
101,35.51953,0.3277087,1.083e-06,0.1851543,1e-06,0.02118213,0.02931079,0.0242583,0.0193768,0.008420904,0.01614231,0.006836239,0.004123494,0.005901324,0.00699999
102,35.84724,0.3860148,1.5e-06,0.1842768,1e-06,0.02885071,0.0728728,0.02846687,0.02268905,0.007396322,0.01656698,0.007090655,0.004117994,0.005716575,0.007967571
103,36.23325,0.3286225,1.417e-06,0.1853483,1e-06,0.02139405,0.0293107,0.0242828,0.01921997,0.008273821,0.01618539,0.006823907,0.004129327,0.005627324,0.008024488
104,36.56187,0.3911876,1.25e-06,0.1913137,1e-06,0.02803071,0.07288247,0.02842421,0.02189505,0.007285488,0.01645414,0.007149655,0.004089911,0.005636158,0.008023821
105,36.95306,0.3348969,1.166e-06,0.1927162,1.167e-06,0.02112997,0.02925679,0.02428888,0.01923089,0.008293487,0.01610481,0.006823739,0.004132744,0.005740741,0.007176322
106,37.28796,0.319277,1.417e-06,0.183771,1.083e-06,0.02688996,0.01393689,0.02813537,0.01857005,0.007059906,0.01661189,0.007025156,0.00414991,0.005705408,0.007418988
107,37.60724,0.384594,1.25e-06,0.184102,9.17e-07,0.02891662,0.07298447,0.02840162,0.02191147,0.007373655,0.01653573,0.006992572,0.004273827,0.006101491,0.006998322
108,37.99183,0.3865569,1.333e-06,0.1852277,1e-06,0.02855171,0.07290705,0.02906362,0.02191955,0.007384072,0.01655414,0.007049406,0.00415216,0.005615742,0.008129404
109,38.37839,0.3854231,1.25e-06,0.1844046,9.17e-07,0.02866329,0.07294905,0.02840821,0.02192622,0.007315072,0.01636981,0.007072406,0.004281076,0.005648825,0.00838232
110,38.76381,0.3844657,1.333e-06,0.1832317,1e-06,0.02902612,0.07298814,0.02843212,0.02193047,0.007402739,0.01649881,0.006982322,0.004176244,0.005667158,0.008127571
111,39.14828,0.3852952,1.333e-06,0.1851674,8.34e-07,0.02868837,0.07280206,0.02841671,0.0221203,0.007368739,0.01654131,0.006987322,0.004312994,0.005926157,0.006961656
112,39.53357,0.3849196,1.333e-06,0.1832499,1.167e-06,0.02881762,0.07289472,0.02842262,0.02209047,0.007303989,0.01674556,0.007185989,0.004124577,0.005953574,0.008128071
113,39.91849,0.3321662,1.334e-06,0.1896392,9.17e-07,0.02140622,0.02930504,0.0242698,0.0191673,0.00830982,0.01619248,0.006828906,0.004120911,0.005976491,0.006947739
114,40.25066,0.3838487,1.333e-06,0.1834551,9.17e-07,0.02849104,0.07284522,0.02842921,0.02185263,0.007330239,0.01645431,0.007118156,0.004126743,0.005626325,0.008117488
115,40.63451,0.3219996,1.25e-06,0.1852399,1.084e-06,0.02814737,0.01396915,0.02814221,0.0185443,0.00701924,0.01647614,0.007019572,0.00430841,0.005641325,0.007489655
116,40.95651,0.353896,1.584e-06,0.1844847,1e-06,0.02155072,0.04871109,0.02840987,0.02182455,0.007385822,0.01650606,0.007024489,0.004148327,0.005640408,0.008207321
117,41.3104,0.3860824,1.167e-06,0.1854973,1e-06,0.02859021,0.07290339,0.02841096,0.02184163,0.007306572,0.01649339,0.007023239,0.00426216,0.005645992,0.008105404
118,41.69648,0.3528355,1.5e-06,0.1834137,1e-06,0.02140455,0.04865576,0.02840354,0.02189113,0.007444156,0.01658289,0.007071155,0.004158827,0.005675825,0.008131487
119,42.04932,0.3531533,1.333e-06,0.1845775,1.167e-06,0.0216708,0.04869659,0.02839771,0.02186955,0.007326739,0.01643731,0.007121906,0.004251326,0.005801408,0.006999906
120,42.40247,0.3267352,1.417e-06,0.1838646,9.17e-07,0.0211018,0.02931154,0.02429413,0.01924664,0.008300154,0.01612389,0.006820323,0.003977327,0.005664825,0.008027654
121,42.72921,0.3805615,1.583e-06,0.1842541,1.25e-06,0.02451696,0.07293789,0.02842304,0.02186188,0.007348989,0.01640906,0.006978572,0.004293577,0.005972408,0.007562155
122,43.10977,0.3261377,1.334e-06,0.1837587,8.34e-07,0.02112272,0.02930179,0.02429288,0.01922722,0.00825732,0.01620114,0.006877239,0.003947411,0.006166574,0.006982489
123,43.43591,0.3826874,1.25e-06,0.184386,1e-06,0.02538121,0.07292214,0.02840462,0.02313197,0.007329572,0.01652172,0.007065906,0.004278243,0.005731908,0.007531822
124,43.81859,0.38036,1.25e-06,0.1832817,1e-06,0.02480279,0.07292022,0.02849537,0.0219303,0.007319738,0.01653364,0.007125739,0.004118494,0.005632408,0.008197321
125,44.19895,0.3861335,1.25e-06,0.1853582,1.334e-06,0.02865487,0.0729348,0.02841754,0.02195155,0.007310239,0.01642639,0.006993989,0.00431966,0.005664408,0.008099238
126,44.58509,0.38422,1.334e-06,0.1838974,9.16e-07,0.02960687,0.07230047,0.02854171,0.02192697,0.007417656,0.01650272,0.007006906,0.004156494,0.005858074,0.007002489
127,44.96931,0.3277215,1.334e-06,0.1842277,1.166e-06,0.02163755,0.02930537,0.02428555,0.0192748,0.008286571,0.01609764,0.006827739,0.00408816,0.005663492,0.008024404
128,45.29703,0.3277999,1.333e-06,0.1840055,1e-06,0.02106388,0.02926954,0.02428446,0.02013497,0.008255737,0.01621731,0.006835406,0.003959994,0.005760491,0.008010238
129,45.62483,0.3282452,1.584e-06,0.185169,9.17e-07,0.02131655,0.02929195,0.02428463,0.01943622,0.008361403,0.01608314,0.007077239,0.004102577,0.006088408,0.007031572
130,45.95307,0.3284186,1.25e-06,0.184967,1.25e-06,0.0219943,0.02931596,0.02429246,0.01930522,0.008303488,0.01616897,0.006867489,0.003990911,0.005972824,0.007237489
131,46.28149,0.3810148,1.417e-06,0.1847595,1e-06,0.02415638,0.07291622,0.02841412,0.02184388,0.007380155,0.01647964,0.006990739,0.00429316,0.005641074,0.008137488
132,46.66251,0.3343899,1.667e-06,0.1926097,1.166e-06,0.02078947,0.02929679,0.02430188,0.01918697,0.008255821,0.01626589,0.006834156,0.003943411,0.005801491,0.007101489
133,46.9969,0.3364422,1.416e-06,0.1933722,9.17e-07,0.02117697,0.02931629,0.02437313,0.01923297,0.008360988,0.01619014,0.007335239,0.004139327,0.005951657,0.00699099
134,47.33334,0.3278142,1.25e-06,0.184596,1e-06,0.02200147,0.02931296,0.02430296,0.0192088,0.008429904,0.01609239,0.007022823,0.003949327,0.005897824,0.006997573
135,47.66115,0.3285888,1.5e-06,0.186401,1.25e-06,0.02099739,0.02932704,0.02428221,0.01923705,0.00833107,0.01602906,0.006817073,0.00416616,0.005639908,0.007358072
136,47.98974,0.3284081,1.5e-06,0.1853112,9.17e-07,0.02101613,0.02931571,0.02428321,0.01921372,0.00837632,0.01621481,0.006852239,0.003950911,0.005710491,0.008160904
137,48.31815,0.328412,1.25e-06,0.185857,8.34e-07,0.02134222,0.02927187,0.0243878,0.01922972,0.008279487,0.01616406,0.006783489,0.004090911,0.005881407,0.007121989
138,48.64656,0.3290904,1.333e-06,0.1861668,1.167e-06,0.02096738,0.02927104,0.0242738,0.01938097,0.008323404,0.01625647,0.006848823,0.00394916,0.005663575,0.007986488
139,48.97565,0.3284497,1.417e-06,0.1857015,1.083e-06,0.02139622,0.02925895,0.0242768,0.01942297,0.008299987,0.01598173,0.006974489,0.00412666,0.006039908,0.006968072
140,49.3041,0.3275847,1.583e-06,0.1857023,1e-06,0.02101797,0.02925754,0.02428205,0.01922064,0.008277487,0.01615289,0.006914322,0.003983661,0.005804574,0.006968739
141,49.63169,0.387517,1.5e-06,0.1856805,8.34e-07,0.02866421,0.07293064,0.02840454,0.02305313,0.007354656,0.01651114,0.007046322,0.00428491,0.006058324,0.007526239
