OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
72,41.15253,0.5146952,1.25e-06,0.1878769,1.334e-06,0.02106005,0.02966962,0.02676387,0.02138405,0.02679179,0.0634884,0.02423971,0.02601496,0.06596298,0.01430523,0.007135072
73,41.66723,0.5143166,1.417e-06,0.1894744,9.17e-07,0.02102472,0.02931137,0.02674887,0.0213908,0.02621904,0.0631519,0.02422988,0.02559688,0.06549748,0.01463356,0.007035406
74,42.18155,0.514406,1.5e-06,0.1892626,1.334e-06,0.02092963,0.02932112,0.02677971,0.02134522,0.02617204,0.0632244,0.02456354,0.02582538,0.06581231,0.01405756,0.007109655
75,42.69595,0.5775581,1.333e-06,0.1888681,1.417e-06,0.02862829,0.07293764,0.03086603,0.02386538,0.02597404,0.06294765,0.02835037,0.02543771,0.06382848,0.01504548,0.01080615
76,43.27351,0.5125164,1.167e-06,0.1874573,1e-06,0.02109772,0.0293072,0.02679313,0.0213818,0.02602513,0.06320407,0.02442946,0.02626638,0.0644879,0.01475523,0.007308988
77,43.78603,0.5246991,1.333e-06,0.1891181,1.167e-06,0.02890404,0.01397373,0.03167812,0.02241763,0.02595888,0.06297548,0.03957861,0.02621754,0.0626664,0.01403698,0.007171072
78,44.31073,0.5244106,1.417e-06,0.1868975,1.167e-06,0.02626729,0.01392356,0.03104304,0.01840881,0.02589046,0.06448507,0.04746718,0.02575546,0.06282682,0.01403465,0.007408155
79,44.83514,0.5802385,1.5e-06,0.2060072,1.167e-06,0.02861062,0.04869026,0.03093595,0.02451596,0.02619604,0.06292265,0.04205618,0.02619796,0.06279973,0.01427681,0.007026489
80,45.41538,0.5245293,1.667e-06,0.1868424,1.084e-06,0.02643888,0.01400089,0.03099045,0.01827831,0.02576838,0.06386457,0.04757676,0.02624113,0.06323273,0.01430264,0.006989406
81,45.9399,0.5110486,1.333e-06,0.1859562,1.167e-06,0.02015272,0.02935754,0.02657763,0.02132822,0.02513771,0.06244115,0.02859845,0.02593521,0.06401248,0.01447081,0.007077989
82,46.45095,0.5666979,1.333e-06,0.185694,9.17e-07,0.02846362,0.07291005,0.03069304,0.02396738,0.02614821,0.0628144,0.02445505,0.02610563,0.06266349,0.01404723,0.008733486
83,47.01765,0.5791858,1.75e-06,0.1910555,9.17e-07,0.02872045,0.0727768,0.03081737,0.02377188,0.02606013,0.06304548,0.02844629,0.02616213,0.06270865,0.01527556,0.0103429
84,47.59684,0.5327898,1.167e-06,0.1826679,1e-06,0.02145647,0.04867726,0.03086203,0.02395946,0.02600696,0.06286415,0.02425446,0.02557604,0.06456707,0.01461973,0.007276155
85,48.12963,0.5143112,1.167e-06,0.1844562,1.25e-06,0.02111855,0.02924904,0.02673904,0.02145713,0.02685362,0.06272215,0.02814954,0.02560096,0.0632319,0.01504114,0.009689485
86,48.64394,0.5761288,1.5e-06,0.1864518,1.083e-06,0.02852771,0.07285664,0.03091162,0.02384105,0.02657346,0.0629874,0.02839621,0.02688038,0.06300307,0.01503973,0.01065715
87,49.22007,0.5241413,1.417e-06,0.1868084,1.083e-06,0.02690712,0.01394764,0.03105787,0.01830897,0.02636813,0.06309273,0.04735751,0.02602596,0.06283123,0.0140699,0.007363405
88,49.74421,0.5717947,1.5e-06,0.1839118,1.25e-06,0.02864162,0.07290363,0.03093212,0.02379621,0.02657429,0.06295823,0.02854246,0.02678379,0.0633999,0.01404481,0.009303069
89,50.316,0.5724423,1.166e-06,0.1863482,1.333e-06,0.02860729,0.07293555,0.03091362,0.02403055,0.02673579,0.06313132,0.02501421,0.02589596,0.06320123,0.01509139,0.01053465
90,50.88844,0.5713522,1.75e-06,0.1858773,1.166e-06,0.02856646,0.0728873,0.03080287,0.02404296,0.02657846,0.06314198,0.02435405,0.02656079,0.06300448,0.01537939,0.01015323
91,51.4598,0.5186291,1.5e-06,0.1863826,9.16e-07,0.02122447,0.02925437,0.02691079,0.02139763,0.02666804,0.0631599,0.02836096,0.02674754,0.0630414,0.01506589,0.01041307
92,51.97843,0.5102329,1.5e-06,0.1848055,9.16e-07,0.02097997,0.02926945,0.02672621,0.02142022,0.02682587,0.06337898,0.02437721,0.02611321,0.06531915,0.01395914,0.007055489
93,52.48866,0.5124812,1.083e-06,0.1864235,1e-06,0.02114105,0.02926687,0.02677271,0.02141205,0.02673546,0.06309682,0.02428205,0.02611246,0.0655044,0.01460256,0.007129156
