OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,convert_scale,sobel2,convert_scale2,add_weighted,gpu_frame_download,show_img
66,1.791285,0.03721102,1.083e-06,0.009803818,9.16e-07,0.001448581,0.005050159,0.002425829,0.002286496,0.001191498,0.003085579,0.003879077,0.007149405,0.000560249,0.000328333
67,1.828496,0.03061195,1.084e-06,0.007142988,7.5e-07,0.001424331,0.002730162,0.003293745,0.004589242,0.00633099,0.002436663,0.001162664,0.000664833,0.000497749,0.000336749
68,1.859108,0.02787937,1.416e-06,0.007444238,9.17e-07,0.001197081,0.001309498,0.004145993,0.007572155,0.001321664,0.002196163,0.001172665,0.000668582,0.000525583,0.000323416
69,1.886987,0.02788229,1.166e-06,0.007191489,8.33e-07,0.001293165,0.002522912,0.008469153,0.002289163,0.001175915,0.002250413,0.001201581,0.000669166,0.000492332,0.000325
70,1.91487,0.02593954,1.416e-06,0.009817568,8.33e-07,0.001194415,0.001372164,0.00242558,0.002266912,0.001183999,0.002165663,0.003997493,0.000669082,0.00050125,0.000343166
71,1.940809,0.02854812,1e-06,0.009555318,8.33e-07,0.001167665,0.001417414,0.002998995,0.002940579,0.004364743,0.002885162,0.001462997,0.000863332,0.000566416,0.000323666
72,1.969357,0.02995112,1.667e-06,0.008888485,9.17e-07,0.001825664,0.005379241,0.003342661,0.002948995,0.001476581,0.002873079,0.001477497,0.000864582,0.000528083,0.000343666
73,1.999309,0.02360438,1.25e-06,0.01031573,7.5e-07,0.001193164,0.001353332,0.002412746,0.002252663,0.001178498,0.00216758,0.001153581,0.000679499,0.000491416,0.000404166
74,2.022913,0.03030495,1.166e-06,0.009457568,1.084e-06,0.001528997,0.005735241,0.003003578,0.002937246,0.001462747,0.002960329,0.001473997,0.000869166,0.000548582,0.000325249
75,2.053218,0.02650854,1.25e-06,0.008709569,1.083e-06,0.00190608,0.001899997,0.003260495,0.003082578,0.001523248,0.002872745,0.001496914,0.000865332,0.000543666,0.000345583
76,2.079726,0.02795504,1.084e-06,0.009297235,1.166e-06,0.00206408,0.002638496,0.003385328,0.002971078,0.001518581,0.002862912,0.001465915,0.000859581,0.000539583,0.000349999
77,2.107681,0.02273613,1.166e-06,0.009388569,7.5e-07,0.001194164,0.001416331,0.002417663,0.002278913,0.001187665,0.00219608,0.001169664,0.000679166,0.000478999,0.000327
78,2.130418,0.03021112,1.334e-06,0.009432234,9.17e-07,0.001324665,0.006496239,0.002425329,0.002865246,0.001472414,0.002946829,0.001477914,0.000892248,0.000553916,0.000321833
79,2.160629,0.02637687,1.333e-06,0.009021402,1.25e-06,0.001461665,0.001925246,0.003274662,0.002993745,0.001481248,0.002977328,0.001473664,0.000863249,0.000578166,0.000323916
80,2.187006,0.02730746,1.083e-06,0.008941902,9.17e-07,0.001334664,0.00614299,0.002503413,0.002311746,0.001196081,0.002193997,0.001175998,0.000667249,0.000511999,0.000325416
81,2.214313,0.02296046,1.167e-06,0.009599651,9.16e-07,0.001171415,0.001402664,0.002417497,0.002306912,0.001190165,0.002190413,0.001171998,0.000679416,0.000504666,0.000323583
82,2.237273,0.02330221,1.25e-06,0.009830401,8.33e-07,0.001241081,0.001393665,0.002407746,0.002355246,0.001194498,0.002189246,0.001183082,0.000666082,0.000499833,0.000339249
83,2.260576,0.02392238,1.416e-06,0.01031648,9.17e-07,0.001213415,0.001321998,0.002406079,0.002277496,0.001498415,0.002198996,0.001182165,0.000669749,0.000513499,0.000321749
84,2.284498,0.02331763,1.167e-06,0.009698901,1.25e-06,0.001414914,0.001394581,0.00241408,0.002273579,0.001181999,0.002240996,0.001180498,0.000664166,0.000527332,0.000324166
85,2.307816,0.0227683,1.25e-06,0.009437401,8.34e-07,0.001340414,0.001207581,0.002405913,0.00226508,0.001180998,0.002236746,0.001184498,0.000672333,0.000513249,0.000321999
86,2.330584,0.02657704,1.25e-06,0.01044315,1.083e-06,0.001171915,0.001408331,0.002423163,0.002285913,0.001175998,0.002175329,0.003996161,0.000668082,0.000486666,0.000339999
87,2.357161,0.02366571,1.583e-06,0.009361151,1.167e-06,0.001317331,0.001126998,0.001926831,0.001897497,0.001029081,0.001804164,0.003824827,0.000566249,0.000482416,0.000326416
88,2.380827,0.02640596,1.25e-06,0.01042107,9.16e-07,0.001230248,0.001129248,0.002484746,0.002271247,0.001171331,0.002185913,0.00399766,0.000669583,0.000503915,0.000338833
89,2.407233,0.0234928,1.166e-06,0.01002498,7.5e-07,0.001235831,0.001388748,0.002413663,0.002279163,0.001253165,0.002229829,0.001171998,0.000678583,0.000487499,0.000327416
90,2.430725,0.0317752,1.333e-06,0.00612774,8.33e-07,0.00438641,0.007999903,0.002492163,0.002906245,0.001721914,0.002893079,0.001500247,0.000863082,0.000535333,0.000346916
91,2.462501,0.02663754,1.416e-06,0.009196735,8.34e-07,0.001731414,0.00191683,0.003305578,0.002932828,0.001475581,0.002859496,0.001461164,0.000861915,0.000569499,0.00032425
92,2.489138,0.0230818,1.083e-06,0.009809901,9.17e-07,0.001251748,0.001380831,0.002399663,0.002244579,0.001172665,0.002170163,0.001167832,0.000660665,0.000482583,0.000339166
