OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
69,24.58556,0.3118351,1.583e-06,0.1466825,1e-06,0.009525903,0.0252598,0.01258573,0.01081348,0.01456781,0.02673221,0.0122324,0.01063174,0.02105714,0.02024414,0.001499665
70,24.89739,0.3402154,1.333e-06,0.1471574,8.34e-07,0.009854986,0.02520705,0.03322704,0.01973389,0.0139224,0.02413947,0.01330498,0.01055224,0.02117772,0.02045581,0.001480248
71,25.23761,0.3564438,1.416e-06,0.1462807,1e-06,0.007548823,0.01729198,0.05655717,0.02348688,0.01356932,0.02287747,0.01454956,0.01112515,0.02129305,0.02037097,0.001490331
72,25.59405,0.3120533,1.333e-06,0.1514433,8.33e-07,0.009880153,0.02503897,0.0128354,0.01092857,0.01307215,0.02332447,0.01223673,0.01039099,0.02115622,0.02024047,0.001503748
73,25.9061,0.3156816,1.167e-06,0.1465908,9.17e-07,0.009626153,0.02516855,0.01284673,0.01132007,0.01631648,0.02571038,0.01344531,0.01106473,0.02118097,0.02012406,0.002285247
74,26.22179,0.31316,1.25e-06,0.1445749,8.34e-07,0.009722236,0.02505055,0.0128074,0.01231348,0.01570606,0.02539072,0.01314723,0.01074765,0.02128572,0.02055072,0.001861248
75,26.53495,0.3402775,1.417e-06,0.1481159,1e-06,0.007364573,0.007919989,0.03621387,0.02791904,0.01501765,0.03226979,0.01380131,0.008419155,0.02176205,0.01996872,0.001503082
76,26.87522,0.3119908,1.417e-06,0.1457515,8.34e-07,0.009895236,0.02485846,0.0127219,0.01220415,0.01396165,0.02492955,0.01329106,0.01127173,0.02118947,0.02042547,0.001488415
77,27.18721,0.3318777,1.333e-06,0.1462036,1e-06,0.007406907,0.01653889,0.0387257,0.01264557,0.01911431,0.02759755,0.01188065,0.008548072,0.02164014,0.01997989,0.001594081
78,27.51909,0.3142656,1.334e-06,0.1474534,1e-06,0.00956607,0.02527388,0.01278523,0.0122019,0.01449073,0.02496205,0.01317065,0.0114294,0.0212508,0.02019272,0.001486415
79,27.83336,0.3206667,1.25e-06,0.1445581,7.5e-07,0.007271657,0.007731906,0.02014905,0.01742181,0.0135259,0.02855563,0.02792446,0.01026565,0.0213243,0.01984097,0.002095247
80,28.15402,0.3073358,1.083e-06,0.1442858,1.166e-06,0.007341823,0.007739823,0.02125914,0.01733339,0.01322615,0.02895146,0.01360665,0.00976107,0.0222713,0.0200593,0.001497665
81,28.46136,0.3361769,1.417e-06,0.146555,8.34e-07,0.007534989,0.01674464,0.03732137,0.0123869,0.01998897,0.02805429,0.01300232,0.01057724,0.02117039,0.01996289,0.002875579
82,28.79754,0.3374993,1.167e-06,0.1445761,9.17e-07,0.00732974,0.007367656,0.03735145,0.02730821,0.01765564,0.02994921,0.01419073,0.008644655,0.0216718,0.01996664,0.001485331
83,29.13504,0.3065231,1.333e-06,0.146216,9.16e-07,0.009611904,0.02515688,0.01271132,0.01057932,0.01325631,0.02382455,0.01181123,0.01001607,0.02111314,0.02021214,0.002011997
84,29.44156,0.3299947,1.334e-06,0.1468184,8.33e-07,0.007399657,0.01651789,0.03729953,0.0123059,0.01488015,0.02748213,0.01304973,0.01119773,0.02117539,0.02037822,0.001487831
85,29.77155,0.3475836,1.416e-06,0.1434827,1e-06,0.007464323,0.01748722,0.05695517,0.01791231,0.01333806,0.02274722,0.01329331,0.01139765,0.02118305,0.02002272,0.002297413
86,30.11914,0.3364255,1.25e-06,0.1444688,1.167e-06,0.00725049,0.007852156,0.03618645,0.02795338,0.0151189,0.03060921,0.01303748,0.01072007,0.0210588,0.02002614,0.002141247
87,30.45556,0.3176765,1.75e-06,0.1460634,9.17e-07,0.00965882,0.0252418,0.01318115,0.01225165,0.01694681,0.02736221,0.0132374,0.01069349,0.02141014,0.02013697,0.001489997
88,30.77324,0.3101302,1.333e-06,0.1450902,8.34e-07,0.009548153,0.02520771,0.0137169,0.01048607,0.01448981,0.02594805,0.01254907,0.0101554,0.0212038,0.02023839,0.001494415
89,31.08337,0.313712,1.416e-06,0.1465068,8.33e-07,0.007509073,0.0103659,0.02388455,0.01908047,0.01399023,0.02564855,0.0137609,0.01036907,0.02111956,0.01997364,0.001500998
90,31.39708,0.3518865,2.083e-06,0.1544048,9.17e-07,0.00738149,0.007381656,0.03638878,0.02869396,0.02045089,0.0339802,0.01209415,0.008414988,0.02100406,0.02020164,0.001486915
91,31.74897,0.3143621,1.25e-06,0.1477005,8.33e-07,0.00960057,0.02525455,0.01320898,0.01245815,0.01419015,0.02452188,0.0131079,0.01075274,0.0211708,0.02028364,0.002110247
92,32.06333,0.3139279,1.417e-06,0.1461577,7.5e-07,0.009696154,0.02510113,0.01250007,0.02043881,0.01143707,0.02268705,0.01221315,0.01074748,0.0213178,0.02012897,0.001500331
93,32.37726,0.309062,1.333e-06,0.1467453,9.17e-07,0.009914903,0.02487221,0.01281932,0.01131682,0.01348365,0.02448155,0.01234073,0.009981653,0.02117497,0.02044664,0.001481998
