OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,gpumat_alloc,gpu_frame_upload,convert_color,gaussian_blur,sobel,gpu_frame_download,convert_scale,sobel2,gpu_frame_download2,convert_scale2,add_weighted,show_img
123,4.792754,0.02420996,1.167e-06,0.00190383,7.5e-07,0.000367249,0.001034165,0.005524325,0.00976665,0.00049775,0.000841915,0.002642912,0.000470083,0.000811332,0.000206083,0.00014175
124,4.816964,0.02423129,9.17e-07,0.001908247,7.5e-07,0.000375749,0.001028249,0.01249773,0.002726246,0.000483999,0.000842499,0.002734245,0.000472333,0.000811165,0.000208083,0.000141083
125,4.841195,0.02537121,1.084e-06,0.001896413,6.67e-07,0.000399916,0.001340581,0.01333464,0.002703496,0.000485165,0.000853999,0.002711162,0.000482333,0.000811499,0.000207583,0.000142666
126,4.866566,0.02460063,7.5e-07,0.001909997,7.5e-07,0.000438332,0.001029582,0.01250223,0.003075995,0.000485832,0.000837332,0.002681746,0.000478416,0.000810165,0.000207,0.0001425
127,4.891167,0.02599879,1.083e-06,0.00190408,8.33e-07,0.000791333,0.003245078,0.01156248,0.002707829,0.000485666,0.000831915,0.002834162,0.000474832,0.000811082,0.000206333,0.000142084
128,4.917166,0.02347888,1e-06,0.001920331,1e-06,0.000372666,0.001339414,0.01165065,0.002506496,0.000489916,0.000840665,0.002727829,0.000473999,0.000808749,0.000204749,0.000141417
129,4.940645,0.02606679,6.66e-07,0.001900414,6.66e-07,0.000380166,0.001028249,0.005882824,0.01013873,0.000493583,0.000839582,0.002913578,0.001321081,0.000812416,0.000207666,0.000147166
130,4.966711,0.02252313,9.17e-07,0.00190258,5.83e-07,0.000400916,0.001020249,0.005117658,0.008466403,0.000496332,0.000819416,0.002639162,0.000482166,0.000812415,0.00022225,0.000142083
131,4.989235,0.02530713,1.167e-06,0.001923997,9.16e-07,0.000416,0.001340831,0.01328931,0.002676496,0.000479833,0.000847332,0.002677829,0.000481665,0.000811916,0.000203916,0.000155917
132,5.014542,0.02334271,9.16e-07,0.00191183,9.17e-07,0.000427666,0.003198412,0.009651484,0.002465496,0.000487999,0.000828082,0.002733746,0.000486499,0.000793332,0.000214916,0.000141417
