OpenCV version: 2.4
Usage: 7-SobelDerivatives <input-number> [<samples>]
input-number - is the video device number. Defaults to zero. E.g. for /dev/video2 just use '2' as argument.
samples - number of samples before application ends. Defaults to 1000; zero means infinite.
sample_number,elapsed_time,frame,mat_alloc,read_img,convert_color,gaussian_blur,sobel,convert_scale,sobel2,conver_scale2,add_weighted,show_img
88,27.84452,0.3107574,1.75e-06,0.1433151,0.01960322,0.06201283,0.01507073,0.01774106,0.01449581,0.01772581,0.01930306,0.001487997
89,28.15528,0.3107646,1.916e-06,0.1454187,0.01720564,0.06212325,0.01503289,0.01779464,0.01449706,0.01785256,0.01935031,0.001487665
90,28.46604,0.3197457,1.5416e-05,0.1541561,0.01812997,0.06182941,0.01500856,0.01778947,0.01431048,0.01779748,0.01922172,0.001487081
91,28.78579,0.321077,1.916e-06,0.1548514,0.01757356,0.06261725,0.01512506,0.01803664,0.01436665,0.01771739,0.01930072,0.001486415
92,29.10687,0.3108165,1.667e-06,0.143528,0.01954906,0.06205125,0.01506706,0.01772923,0.01430598,0.01778756,0.01932672,0.001469998
93,29.41768,0.3263407,2.333e-06,0.1591397,0.01885022,0.06219041,0.01506106,0.01783197,0.01435415,0.01807356,0.01933164,0.001505664
94,29.74402,0.3169528,1.584e-06,0.1481099,0.0207538,0.061832,0.01513115,0.01785256,0.0144834,0.01787448,0.01942906,0.001484915
95,30.06098,0.3093738,1.666e-06,0.1435128,0.01814556,0.06186516,0.01505406,0.01773714,0.01428615,0.01791447,0.01930722,0.001549582
96,30.37035,0.3112417,1.583e-06,0.1441365,0.01927839,0.06184933,0.01505356,0.01772823,0.01450181,0.01779064,0.01923514,0.001666581
97,30.68159,0.310181,1.667e-06,0.1430791,0.01932656,0.0619605,0.01523148,0.01779489,0.01428606,0.01777606,0.01922881,0.001495914
98,30.99177,0.3099474,1.834e-06,0.1443455,0.01772114,0.06226941,0.01500956,0.01779514,0.01430015,0.01777098,0.01923106,0.001502582
99,31.30172,0.312213,1.75e-06,0.1471782,0.01728831,0.06200325,0.01505173,0.01774298,0.01435481,0.01772356,0.01928822,0.001580165
100,31.61393,0.3243358,2.333e-06,0.1581411,0.01894539,0.0616355,0.01500631,0.01779281,0.0142959,0.01772722,0.01930372,0.001485498
101,31.93827,0.3097879,1.583e-06,0.1425736,0.02003622,0.06152966,0.01502148,0.01779456,0.01430656,0.01778473,0.01923456,0.001504998
102,32.24806,0.3095275,1.5e-06,0.1433199,0.01895497,0.06159141,0.01500131,0.01786798,0.01430223,0.01778448,0.01922906,0.001474665
103,32.55759,0.3095702,1.917e-06,0.1430912,0.01906156,0.06180183,0.0150094,0.01778947,0.01430656,0.01779081,0.01923114,0.001486248
104,32.86716,0.3180211,2.417e-06,0.1528379,0.01798256,0.06149925,0.01508965,0.01773498,0.01436906,0.01771431,0.01929689,0.001494081
105,33.18518,0.3126342,2e-06,0.1449064,0.01937664,0.0622705,0.01504448,0.01783456,0.0145734,0.01780198,0.01932572,0.001498581
106,33.49781,0.310761,1.334e-06,0.1436701,0.01889781,0.06218675,0.0150639,0.01782489,0.01459731,0.01778939,0.01923272,0.001496748
107,33.80857,0.3289465,2.833e-06,0.1608705,0.01968656,0.06200225,0.01529381,0.01783181,0.01434415,0.01808114,0.01932814,0.001505248
108,34.13752,0.325885,2.667e-06,0.1600056,0.01791422,0.06190141,0.01534165,0.01772589,0.01429723,0.01779264,0.01930172,0.001601998
109,34.4634,0.3097892,1.584e-06,0.1438068,0.01781623,0.06219058,0.01502106,0.01785272,0.01458298,0.01778848,0.01923131,0.001497498
110,34.77319,0.3293258,2.833e-06,0.1611378,0.01968631,0.062166,0.01527923,0.01781331,0.0143444,0.01802164,0.01937672,0.001497581
111,35.10252,0.3130013,1.5e-06,0.14438,0.01960156,0.06289216,0.01511565,0.01802606,0.01437006,0.01773081,0.01939589,0.001487664
112,35.41552,0.324524,2.5e-06,0.1599208,0.01631614,0.06183041,0.01539148,0.01785931,0.01431081,0.01809231,0.01929964,0.001500664
113,35.74004,0.3157298,1.666e-06,0.1487102,0.01908214,0.0618755,0.01505331,0.01782581,0.01458698,0.01785281,0.01925081,0.001490581
114,36.05577,0.323442,2.333e-06,0.1603842,0.01487423,0.06179608,0.01533523,0.01779814,0.01437873,0.01779031,0.01957531,0.001507498
115,36.37922,0.3103918,1.667e-06,0.1433406,0.01886139,0.06217925,0.01505465,0.01785031,0.01456423,0.01780756,0.01922856,0.001503664
116,36.68961,0.3217762,2e-06,0.1534824,0.02007931,0.06223733,0.0153599,0.01774973,0.0143579,0.01771456,0.01930472,0.001488415
117,37.01138,0.3107179,1.583e-06,0.1433012,0.01922581,0.06215125,0.01512965,0.01803331,0.01430606,0.01778622,0.01923447,0.001548331
118,37.3221,0.3197898,2e-06,0.1532035,0.01927356,0.06154541,0.01507865,0.01773372,0.01435231,0.01772848,0.01937639,0.001495831
119,37.64189,0.3217951,2.75e-06,0.1567119,0.01759973,0.06187258,0.01500056,0.01779856,0.01428948,0.01779081,0.01922831,0.001500414
120,37.96369,0.3108256,1.333e-06,0.1431551,0.01940197,0.06228266,0.01505448,0.01782898,0.0145659,0.01779697,0.01923464,0.001503498
121,38.27451,0.3100837,1.667e-06,0.1427142,0.01926089,0.06204075,0.01513865,0.01782298,0.01458906,0.01778756,0.01922997,0.001497915
122,38.5846,0.3103127,1.417e-06,0.1428565,0.01957906,0.06194558,0.01533873,0.01779756,0.01428781,0.01778456,0.01923306,0.001488332
123,38.89491,0.3247155,2.333e-06,0.1576399,0.01980872,0.06158392,0.0150584,0.01773598,0.01435015,0.01773781,0.01932947,0.001468748
124,39.21962,0.3114467,1.583e-06,0.1430054,0.01942472,0.06233266,0.01512565,0.01775614,0.0145929,0.01778581,0.01983164,0.001590248
125,39.53107,0.3135808,1.584e-06,0.1464146,0.01891231,0.06216825,0.01514781,0.01776472,0.01458706,0.01779347,0.01930322,0.001487748
126,39.84465,0.3127407,1.584e-06,0.1434526,0.01953897,0.0619215,0.01721664,0.01773923,0.01427948,0.01779448,0.01928889,0.001507331
127,40.15739,0.3211731,2.334e-06,0.1556933,0.01755106,0.06198633,0.01508456,0.01782056,0.01436123,0.01785339,0.01931614,0.001504248
128,40.47857,0.3265419,2.334e-06,0.1597157,0.01805481,0.06257491,0.01505715,0.01791747,0.01431023,0.01808273,0.01923464,0.001591914
129,40.80511,0.3072117,1.5e-06,0.1433956,0.01652398,0.06165775,0.01502923,0.01779148,0.01428506,0.01778631,0.01924097,0.001499914
130,41.11232,0.3079648,1.583e-06,0.142165,0.01747239,0.06233791,0.01504931,0.01781814,0.01459573,0.01779898,0.01923247,0.001493331
131,41.42028,0.3232154,2.416e-06,0.1575724,0.01806064,0.06190866,0.01504273,0.01773631,0.01436931,0.01773114,0.01928839,0.001503414
132,41.7435,0.3083105,1.666e-06,0.1421376,0.01835214,0.06211,0.01497165,0.01780322,0.01442281,0.01778631,0.01923781,0.001487332
133,42.05181,0.3096277,1.583e-06,0.142041,0.01987047,0.06185641,0.01503148,0.01779398,0.0144074,0.01778831,0.01933306,0.001504081
134,42.36144,0.3130251,1.75e-06,0.1477795,0.01752348,0.061962,0.0149549,0.01779347,0.01439806,0.01778189,0.01932764,0.001502414
135,42.67446,0.3090029,1.334e-06,0.1428345,0.01870831,0.061825,0.01495606,0.01779256,0.01437173,0.01779581,0.01923089,0.001486748
136,42.98347,0.3097928,1.833e-06,0.1423694,0.01963856,0.06197875,0.01495306,0.01778581,0.0144024,0.01793181,0.01923839,0.001492831
137,43.29326,0.3094562,1.666e-06,0.1429595,0.01840514,0.06199808,0.01498556,0.01809089,0.0143734,0.01779156,0.01936522,0.001485248
138,43.60271,0.3240639,2.25e-06,0.1590376,0.01651089,0.06232425,0.01503398,0.01784948,0.01448506,0.01803123,0.01930206,0.001487082
139,43.92678,0.3109064,1.5e-06,0.142266,0.0210498,0.06197258,0.01494881,0.01778906,0.01438206,0.01777972,0.01922656,0.001490331
140,44.23768,0.3084231,1.5e-06,0.1426073,0.01828539,0.06188025,0.01494715,0.01779089,0.01439748,0.01778398,0.01923914,0.001489998
141,44.54611,0.3104271,1.5e-06,0.1438804,0.01913831,0.0616755,0.01501298,0.01773848,0.01438231,0.01780031,0.01923189,0.001565414
142,44.85653,0.3201387,2.083e-06,0.152865,0.01922972,0.06194383,0.01502948,0.01778639,0.01470481,0.01780098,0.01930222,0.001474248
143,45.17667,0.328747,2.583e-06,0.159593,0.02095014,0.06204291,0.01502606,0.01778856,0.01466256,0.01779406,0.01934406,0.001543082
144,45.50542,0.3265473,2.667e-06,0.1581399,0.01931322,0.06224691,0.01501898,0.01797131,0.0146784,0.01775481,0.01983264,0.001588415
145,45.83197,0.3095112,1.75e-06,0.14229,0.01952522,0.06192725,0.0150699,0.01779423,0.01439206,0.01777531,0.01924181,0.001493748
146,46.14148,0.3102023,1.75e-06,0.1422018,0.02027647,0.0620095,0.0149904,0.01774072,0.01439423,0.01778506,0.01924831,0.001554082
147,46.45168,0.309286,1.334e-06,0.1428442,0.01849356,0.06225341,0.01495606,0.01784781,0.01438831,0.01779247,0.01923664,0.001472165
148,46.76097,0.3211794,2e-06,0.152739,0.02006297,0.06221008,0.01503473,0.01776806,0.01474398,0.01772889,0.01940214,0.001487497
149,47.08215,0.3222783,2.75e-06,0.1589809,0.01586989,0.06177158,0.01495098,0.01780498,0.01439131,0.01777781,0.01923964,0.001488415
150,47.40443,0.3106682,1.583e-06,0.1428781,0.02008389,0.06202075,0.01493856,0.01778889,0.01438598,0.01778356,0.01929522,0.001491748
151,47.71509,0.3192199,1.916e-06,0.1518705,0.01901539,0.06219483,0.01505173,0.01783614,0.01472673,0.01773198,0.01929572,0.001494915
152,48.03431,0.333788,2.917e-06,0.1656199,0.01982989,0.062417,0.01523048,0.01779006,0.01437581,0.01779164,0.01923206,0.001498331
153,48.3681,0.3248598,2.25e-06,0.1578095,0.01843481,0.06247133,0.01506365,0.01778972,0.01446673,0.01802981,0.01929372,0.001498248
154,48.69296,0.3115209,1.75e-06,0.1430164,0.02034297,0.06207225,0.0152854,0.01773397,0.01441098,0.01778314,0.01937864,0.001495414
155,49.00448,0.3250966,2.417e-06,0.1566334,0.01984114,0.06252675,0.01502756,0.01785056,0.01467223,0.01781364,0.01924039,0.001488498
156,49.32958,0.3164705,1.583e-06,0.1438319,0.01893339,0.06521924,0.01659589,0.01860489,0.01460498,0.01788789,0.01922564,0.001565081
157,49.64605,0.325606,2.584e-06,0.1581934,0.01776614,0.06263933,0.0153529,0.01783047,0.0148154,0.01821181,0.01929964,0.001494415
158,49.97166,0.3128852,1.334e-06,0.1419261,0.01826972,0.06255716,0.0150089,0.01784489,0.01467915,0.01981747,0.02118105,0.001599498
159,50.28454,0.3324038,3e-06,0.1639846,0.01984864,0.062525,0.01503281,0.01776881,0.01438381,0.01784356,0.01952039,0.001493164
160,50.61694,0.3206869,2.25e-06,0.15205,0.02030006,0.06208016,0.01510264,0.01776131,0.0147579,0.01775106,0.01938956,0.001491914
161,50.93763,0.3182746,2.333e-06,0.1525207,0.01727089,0.06226291,0.01503656,0.01782514,0.01471065,0.01779939,0.01935797,0.001488081
162,51.25591,0.3097472,1.583e-06,0.142379,0.01956064,0.06203425,0.01494373,0.01779556,0.01440631,0.01790689,0.01923506,0.001484165
163,51.56565,0.3256318,2.417e-06,0.158345,0.01900814,0.06217633,0.01529481,0.01774789,0.0144464,0.01773106,0.01929514,0.001584582
164,51.89128,0.3095417,1.666e-06,0.1424951,0.01874864,0.061925,0.0150039,0.01785272,0.01470581,0.01778714,0.01946031,0.001561414
165,52.20083,0.3112092,1.5e-06,0.1427752,0.02009914,0.062099,0.01500931,0.01784822,0.01469073,0.01785773,0.01923639,0.001591998
